Date,Sport,Google_Trends_Popularity,YouTube_Views_Score,Major_Event
10/1/2005,Tennis,36,0,0
11/1/2005,Tennis,33,0,0
12/1/2005,Tennis,23,0,0
1/1/2006,Tennis,48,0,0
2/1/2006,Tennis,33,0,0
3/1/2006,Tennis,36,0,0
4/1/2006,Tennis,36,0,0
5/1/2006,Tennis,46,0,0
6/1/2006,Tennis,58,0,1
7/1/2006,Tennis,48,0,0
8/1/2006,Tennis,50,0,0
9/1/2006,Tennis,55,0,0
10/1/2006,Tennis,34,0,0
11/1/2006,Tennis,32,0,0
12/1/2006,Tennis,22,0,0
1/1/2007,Tennis,46,0,0
2/1/2007,Tennis,31,0,0
3/1/2007,Tennis,36,0,0
4/1/2007,Tennis,38,0,0
5/1/2007,Tennis,43,0,0
6/1/2007,Tennis,57,0,0
7/1/2007,Tennis,52,0,0
8/1/2007,Tennis,46,0,0
9/1/2007,Tennis,50,0,1
10/1/2007,Tennis,32,0,0
11/1/2007,Tennis,32,0,0
12/1/2007,Tennis,22,0,0
1/1/2008,Tennis,45,97,0
2/1/2008,Tennis,30,82,0
3/1/2008,Tennis,34,76,0
4/1/2008,Tennis,36,87,0
5/1/2008,Tennis,45,88,0
6/1/2008,Tennis,51,92,0
7/1/2008,Tennis,53,93,0
8/1/2008,Tennis,57,100,1
9/1/2008,Tennis,54,82,0
10/1/2008,Tennis,35,60,0
11/1/2008,Tennis,30,59,0
12/1/2008,Tennis,21,51,0
1/1/2009,Tennis,43,69,0
2/1/2009,Tennis,34,65,0
3/1/2009,Tennis,35,59,0
4/1/2009,Tennis,38,58,0
5/1/2009,Tennis,49,65,0
6/1/2009,Tennis,60,86,0
7/1/2009,Tennis,48,65,0
8/1/2009,Tennis,44,53,0
9/1/2009,Tennis,68,72,0
10/1/2009,Tennis,31,45,0
11/1/2009,Tennis,33,43,0
12/1/2009,Tennis,22,37,0
1/1/2010,Tennis,42,49,0
2/1/2010,Tennis,29,42,0
3/1/2010,Tennis,29,42,0
4/1/2010,Tennis,34,45,0
5/1/2010,Tennis,41,47,0
6/1/2010,Tennis,51,51,1
7/1/2010,Tennis,33,40,0
8/1/2010,Tennis,38,39,0
9/1/2010,Tennis,52,56,0
10/1/2010,Tennis,28,37,0
11/1/2010,Tennis,29,35,0
12/1/2010,Tennis,19,30,0
1/1/2011,Tennis,39,45,0
2/1/2011,Tennis,25,32,0
3/1/2011,Tennis,30,35,0
4/1/2011,Tennis,33,38,0
5/1/2011,Tennis,46,41,0
6/1/2011,Tennis,60,58,1
7/1/2011,Tennis,36,44,0
8/1/2011,Tennis,35,38,0
9/1/2011,Tennis,51,42,0
10/1/2011,Tennis,27,31,0
11/1/2011,Tennis,28,32,0
12/1/2011,Tennis,19,29,0
1/1/2012,Tennis,38,48,0
2/1/2012,Tennis,25,38,0
3/1/2012,Tennis,30,35,0
4/1/2012,Tennis,28,35,0
5/1/2012,Tennis,37,36,0
6/1/2012,Tennis,53,48,0
7/1/2012,Tennis,51,51,0
8/1/2012,Tennis,51,56,1
9/1/2012,Tennis,51,39,0
10/1/2012,Tennis,27,30,0
11/1/2012,Tennis,25,29,0
12/1/2012,Tennis,17,28,0
1/1/2013,Tennis,36,37,0
2/1/2013,Tennis,25,31,0
3/1/2013,Tennis,31,31,0
4/1/2013,Tennis,28,32,0
5/1/2013,Tennis,36,35,0
6/1/2013,Tennis,48,47,1
7/1/2013,Tennis,42,41,0
8/1/2013,Tennis,41,35,0
9/1/2013,Tennis,46,38,0
10/1/2013,Tennis,29,31,0
11/1/2013,Tennis,25,29,0
12/1/2013,Tennis,17,25,0
1/1/2014,Tennis,36,37,0
2/1/2014,Tennis,23,30,0
3/1/2014,Tennis,32,32,0
4/1/2014,Tennis,27,32,0
5/1/2014,Tennis,37,35,0
6/1/2014,Tennis,43,39,1
7/1/2014,Tennis,34,35,0
8/1/2014,Tennis,39,35,0
9/1/2014,Tennis,43,39,0
10/1/2014,Tennis,29,33,0
11/1/2014,Tennis,26,30,0
12/1/2014,Tennis,15,26,0
1/1/2015,Tennis,35,33,0
2/1/2015,Tennis,26,30,0
3/1/2015,Tennis,28,31,0
4/1/2015,Tennis,28,33,0
5/1/2015,Tennis,38,33,0
6/1/2015,Tennis,42,37,0
7/1/2015,Tennis,43,37,1
8/1/2015,Tennis,34,32,0
9/1/2015,Tennis,53,40,0
10/1/2015,Tennis,25,29,0
11/1/2015,Tennis,24,27,0
12/1/2015,Tennis,16,24,0
1/1/2016,Tennis,38,31,0
2/1/2016,Tennis,24,28,0
3/1/2016,Tennis,29,29,0
4/1/2016,Tennis,29,29,0
5/1/2016,Tennis,40,31,0
6/1/2016,Tennis,37,30,1
7/1/2016,Tennis,39,30,0
8/1/2016,Tennis,48,41,1
9/1/2016,Tennis,47,35,0
10/1/2016,Tennis,25,26,0
11/1/2016,Tennis,24,25,0
12/1/2016,Tennis,15,21,0
1/1/2017,Tennis,44,0,0
2/1/2017,Tennis,28,0,0
3/1/2017,Tennis,36,0,0
4/1/2017,Tennis,34,0,0
5/1/2017,Tennis,41,0,0
6/1/2017,Tennis,47,0,0
7/1/2017,Tennis,52,0,0
8/1/2017,Tennis,42,25,0
9/1/2017,Tennis,61,27,0
10/1/2017,Tennis,32,25,0
11/1/2017,Tennis,28,23,0
12/1/2017,Tennis,18,20,0
1/1/2018,Tennis,47,30,0
2/1/2018,Tennis,28,23,0
3/1/2018,Tennis,33,24,0
4/1/2018,Tennis,31,23,0
5/1/2018,Tennis,42,24,0
6/1/2018,Tennis,48,24,0
7/1/2018,Tennis,48,24,1
8/1/2018,Tennis,48,24,0
9/1/2018,Tennis,65,29,0
10/1/2018,Tennis,27,19,0
11/1/2018,Tennis,24,21,0
12/1/2018,Tennis,15,17,0
1/1/2019,Tennis,46,24,0
2/1/2019,Tennis,26,20,0
3/1/2019,Tennis,38,21,0
4/1/2019,Tennis,32,20,0
5/1/2019,Tennis,46,21,0
6/1/2019,Tennis,59,25,0
7/1/2019,Tennis,63,28,1
8/1/2019,Tennis,53,21,0
9/1/2019,Tennis,58,21,0
10/1/2019,Tennis,30,17,0
11/1/2019,Tennis,31,17,0
12/1/2019,Tennis,15,15,0
1/1/2020,Tennis,45,20,0
2/1/2020,Tennis,32,20,0
3/1/2020,Tennis,16,16,0
4/1/2020,Tennis,12,13,0
5/1/2020,Tennis,14,14,0
6/1/2020,Tennis,18,16,0
7/1/2020,Tennis,18,16,0
8/1/2020,Tennis,22,16,1
9/1/2020,Tennis,53,24,0
10/1/2020,Tennis,39,20,0
11/1/2020,Tennis,25,19,0
12/1/2020,Tennis,14,15,0
1/1/2021,Tennis,15,18,0
2/1/2021,Tennis,35,23,0
3/1/2021,Tennis,27,21,0
4/1/2021,Tennis,31,20,0
5/1/2021,Tennis,37,22,0
6/1/2021,Tennis,58,25,0
7/1/2021,Tennis,56,27,1
8/1/2021,Tennis,38,23,0
9/1/2021,Tennis,68,28,0
10/1/2021,Tennis,30,20,0
11/1/2021,Tennis,30,21,0
12/1/2021,Tennis,16,19,0
1/1/2022,Tennis,46,24,0
2/1/2022,Tennis,27,23,0
3/1/2022,Tennis,33,23,0
4/1/2022,Tennis,32,22,0
5/1/2022,Tennis,52,27,0
6/1/2022,Tennis,51,27,0
7/1/2022,Tennis,46,28,0
8/1/2022,Tennis,40,24,0
9/1/2022,Tennis,59,26,0
10/1/2022,Tennis,24,20,0
11/1/2022,Tennis,24,22,0
12/1/2022,Tennis,15,18,0
1/1/2023,Tennis,37,24,0
2/1/2023,Tennis,26,23,0
3/1/2023,Tennis,32,25,0
4/1/2023,Tennis,36,23,0
5/1/2023,Tennis,44,27,0
6/1/2023,Tennis,56,29,0
7/1/2023,Tennis,64,29,1
8/1/2023,Tennis,47,27,0
9/1/2023,Tennis,62,33,0
10/1/2023,Tennis,32,23,0
11/1/2023,Tennis,32,26,0
12/1/2023,Tennis,17,22,0
1/1/2024,Tennis,47,31,0
2/1/2024,Tennis,28,27,0
3/1/2024,Tennis,39,31,0
4/1/2024,Tennis,39,28,0
5/1/2024,Tennis,48,30,0
6/1/2024,Tennis,52,30,0
7/1/2024,Tennis,68,31,1
8/1/2024,Tennis,67,38,0
9/1/2024,Tennis,100,30,0
10/1/2024,Tennis,31,26,0
11/1/2024,Tennis,28,23,0
12/1/2024,Tennis,19,21,0
1/1/2025,Tennis,39,30,0
2/1/2025,Tennis,28,28,0
3/1/2025,Tennis,35,31,0
4/1/2025,Tennis,33,30,0
1/1/2004,Golf,44,0,0
2/1/2004,Golf,53,0,0
3/1/2004,Golf,62,0,0
4/1/2004,Golf,83,0,1
5/1/2004,Golf,82,0,0
6/1/2004,Golf,93,0,0
7/1/2004,Golf,100,0,0
8/1/2004,Golf,85,0,0
9/1/2004,Golf,69,0,0
10/1/2004,Golf,49,0,0
11/1/2004,Golf,45,0,0
12/1/2004,Golf,43,0,0
1/1/2005,Golf,44,0,0
2/1/2005,Golf,49,0,0
3/1/2005,Golf,58,0,0
4/1/2005,Golf,81,0,1
5/1/2005,Golf,73,0,0
6/1/2005,Golf,89,0,0
7/1/2005,Golf,91,0,0
8/1/2005,Golf,81,0,0
9/1/2005,Golf,63,0,0
10/1/2005,Golf,49,0,0
11/1/2005,Golf,41,0,0
12/1/2005,Golf,39,0,0
1/1/2006,Golf,40,0,0
2/1/2006,Golf,43,0,0
3/1/2006,Golf,50,0,0
4/1/2006,Golf,70,0,0
5/1/2006,Golf,66,0,0
